Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath
"Back Bay","49 Gloucester St. #1 Back Bay","2250","0","0","N/A","1"
"Back Bay","412 Beacon St. #9 Back Bay","12500","0","0","3","2.5"
"Back Bay","301 Beacon St. Back Bay","35000","0","0","4","4.5"
"Allston","75 Braintree St. #205 Allston","3785","0","0","2","1"
"Allston","47 Parkvale Ave. #4 Allston","2500","0","0","1","1"
"Allston","20 Radcliffe Rd. #201 Allston","2300","0","0","1","1"
"Beacon Hill","65 Hancock St. #3R Beacon Hill","2600","0","0","1","1"
"Beacon Hill","116 Charles St. #4 Beacon Hill","8000","0","0","2","2"
"Brighton","9 Bronsdon St. #17B-D_14246 Brighton","3150","0","0","2","1"
"Brighton","15 North Beacon St. #417 Brighton","3000","0","0","2","1.5"
"Brighton","1462 Commonwealth Ave. #2 Brighton","3800","0","0","3","2"
"Brighton","530 Western Ave. #513 Brighton","4284","0","0","2","2"
"Brighton","1550 Soldiers Field Rd. #230 Brighton","2592","0","0","1","1"
"Brighton","34 Perthshire #34 Brighton","7000","0","0","6","3"
"Brighton","12 Waverly #3 Brighton","3100","0","0","3","1.5"
"Brighton","11 Camelot Ct. #11-3I Brighton","4147","0","0","3","1"
"Brighton","1419 Commonwealth Ave. #204 Brighton","3700","0","0","3","2"
"Brighton","122A Englewood Ave. #3 Brighton","2250","0","0","1","1"
"Fenway","200 Brookline Ave. #1511 Fenway","3930","0","0","N/A","1"
"Fenway","200 Brookline Ave. #406 Fenway","4646","0","0","1","1"
"Fenway","18 Edgerly #1 Fenway","3500","0","0","2","1.5"
"Fenway","16 Peterborough #504 Fenway","4200","0","0","2","2"
"Fenway","69 Park Dr. #8 Fenway","3500","0","0","2","1"
"Hyde Park","75 Como Rd. Hyde Park","6500","0","0","4","2.5"
"Hyde Park","15 Madison St. #1 Hyde Park","2500","0","0","2","1"
"Hyde Park","39-41 Suncrest Rd. #2 Hyde Park","3400","0","0","3","1"
