Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath
"Brighton","175 Washington St. #3234 Brighton","3501","0","0","1","1"
"Bay Village","212 Stuart St. #904 Bay Village","8250","0","0","2","2"
"Fenway","771 Beacon St. #B2-1201 Fenway","5402","0","0","2","2"
"Dorchester","401 Mount Vernon St. #401-236 Dorchester","3506","0","0","2","2"
"Allston","65 Brainerd Rd. #75-505 Allston","3818","0","0","1","1"
"Dorchester","401 Mount Vernon St. #401-433 Dorchester","3458","0","0","2","2"
"Dorchester","401 Mount Vernon St. #401-917 Dorchester","3506","0","0","2","2"
"Brighton","2 Sutherland Rd. #31 Brighton","2650","0","0","2","1"
"Dorchester","401 Mount Vernon St. #401-329 Dorchester","3482","0","0","2","2"
"Dorchester","24 Oyster Bay Rd. #330115 Dorchester","3655","0","0","2","1"
"Dorchester","780 Morrissey Blv Dorchester","2240","0","0","N/A","1"
"South End","300 Harrison Ave. #3-511 South End","3649","0","0","N/A","1"
"Allston","65 Brainerd Rd. #75-321 Allston","3358","0","0","1","1"
"Brighton","1550 Soldiers Field Rd. #531 Brighton","2700","0","0","1","1"
"Dorchester","24 Oyster Bay Rd. #210315 Dorchester","3295","0","0","2","1"
"Dorchester","24 Oyster Bay Rd. #260314 Dorchester","3540","0","0","2","2"
"Dorchester","24 Oyster Bay Rd. #260404 Dorchester","3550","0","0","2","2"
"Dorchester","24 Oyster Bay Rd. #190404 Dorchester","3425","0","0","2","2"
"Dorchester","24 Oyster Bay Rd. #180106 Dorchester","3295","0","0","2","1"
"Dorchester","24 Oyster Bay Rd. #210114 Dorchester","3475","0","0","2","1"
"Dorchester","24 Oyster Bay Rd. #200058 Dorchester","3755","0","0","2","2"
"Dorchester","24 Oyster Bay Rd. #170086 Dorchester","4350","0","0","2","2"
"Dorchester","24 Oyster Bay Rd. #230201 Dorchester","5300","0","0","3","1.5"
"Brighton","61 Selkirk Rd. #4 Brighton","2550","0","0","1","1"
"Brighton","175 Washington St. #3412 Brighton","3944","0","0","2","2"
"South End","89 East Dedham St. #512 South End","7091","0","0","3","2"
"Dorchester","24 Oyster Bay Rd. #140166 Dorchester","4895","0","0","3","1.5"
"Jamaica Plain","201 South Huntington Ave. #201-704 Jamaica Plain","3495","0","0","1","1"
"Dorchester","24 Oyster Bay Rd. #370106 Dorchester","5060","0","0","3","1.5"
"Brighton","9 Bronsdon St. #21B-C_14264 Brighton","3720","0","0","3","1"
"Brighton","175 Washington St. #2516 Brighton","4061","0","0","2","2"
"Back Bay","13-19 Stanhope St. #2A Back Bay","6000","0","0","2","1.5"
"Dorchester","401 Mount Vernon St. #375-724 Dorchester","2564","0","0","N/A","1"
"South End","89 East Dedham St. #1109 South End","5826","0","0","2","2"
"Dorchester","24 Oyster Bay Rd. #110402 Dorchester","3275","0","0","2","2"
"Dorchester","24 Oyster Bay Rd. #240503 Dorchester","3410","0","0","2","2"
"Allston","65 Brainerd Rd. #60-203 Allston","3883","0","0","2","1"
"Brighton","175 Washington St. #3212 Brighton","4100","0","0","2","2"
"Dorchester","24 Oyster Bay Rd. #380310 Dorchester","3430","0","0","1","1"
"Dorchester","401 Mount Vernon St. #401-814 Dorchester","2405","0","0","N/A","1"
"South End","390 Harrison Ave. #928 South End","7695","0","0","2","2"
"Dorchester","725 Adams St. #735027 Dorchester","2115","0","0","N/A","1"
"South End","300 Harrison Ave. #2-419 South End","3663","0","0","1","1"
"Dorchester","24 Oyster Bay Rd. #360316 Dorchester","2595","0","0","1","1"
