Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath
Allston,292 Lincoln St.,Unit 4-D,Boston,MA,02134,Allston,1025,0,0,5,1
Brighton,56 Ridgemont St.,Unit 2-B,Boston,MA,02134,Brighton,1025,0,0,5,2
Dorchester,823 Dorchester Ave.,Unit 3-C,Boston,MA,02125,Dorchester,1025,0,0,3,1
Dorchester,368 Park St.,Unit 3-C,Boston,MA,02124,Dorchester,1025,0,0,4,1
Dorchester,61 Lithgow St.,Unit 3-C,Boston,MA,02124,Dorchester,1050,0,0,4,1
Brighton,33-35 Dickinson Rd.,Unit 2-B,Boston,MA,02135,Brighton,1050,0,0,4,1
Allston,20 Alcott St.,Unit 4-D,Boston,MA,02134,Allston,1050,0,0,5,2
Allston,34 Coolidge Rd.,Unit 4-D,Boston,MA,02134,Allston,1050,0,0,6,2
Allston,20 Alcott St.,Unit 3-C,Boston,MA,02134,Allston,1050,0,0,5,2
Dorchester,61 Lithgow,Unit 3-C,Boston,MA,02124,Dorchester,1050,0,0,4,1
Brighton,47 Wallingford Rd.,Unit 2-B,Boston,MA,02135,Brighton,1050,0,0,9,2
Brighton,2 Murdock Ter.,Unit 2-B,Boston,MA,02135,Brighton,1050,0,0,6,2
Brighton,129 Chiswick Rd.,Unit 4-D,Boston,MA,02135,Brighton,1050,0,0,5,2
Dorchester,35 Howell St.,Unit 4-D,Boston,MA,02125,Dorchester,1050,0,0,4,1
Dorchester,195 Hancock St.,Unit 3-C,Boston,MA,02125,Dorchester,1050,0,0,3,1
Dorchester,105 Walnut St.,Unit 1-A,Boston,MA,02145,Dorchester,1050,0,0,5,1
Brighton,45 Montcalm,Unit 4-D,Boston,MA,02135,Brighton,1050,0,0,7,2
Dorchester,23 Newport St.,Unit 3-C,Boston,MA,02125,Dorchester,1050,0,0,5,2
Dorchester,10 Norton St.,Unit 1-A,Boston,MA,02125,Dorchester,1050,0,0,4,1
Dorchester,12 Theodore St.,Unit 3-D,Boston,MA,02124,Dorchester,1050,0,0,3,1
Allston,11 Linden St.,Unit 6-F,Boston,MA,02134,Allston,1050,0,0,7,2
Allston,11 Islington St.,Unit 2-B,Boston,MA,02134,Allston,1050,0,0,7,2
Dorchester,61 Lithgow,Unit 3-C,Boston,MA,02124,Dorchester,1050,0,0,4,1
Allston,34 Coolidge Rd.,Unit 4-D,Boston,MA,02134,Allston,1050,0,0,6,2
Brighton,132 Chiswick Rd.,Unit 1-2B,Boston,MA,02135,Brighton,1050,0,0,6,2
Allston,20 Alcott St.,Unit 3-C,Boston,MA,02134,Allston,1050,0,0,5,2
Brighton,2 Murdock Ter.,Unit 2-B,Boston,MA,02135,Brighton,1050,0,0,6,2
Dorchester,57 Pleasant St.,Unit 3-C,Boston,MA,02125,Dorchester,1075,0,0,4,2
Brighton,36 Newcastle Rd.,Unit 4-D,Boston,MA,02135,Brighton,1075,0,0,7,2
Dorchester,15 Romsey St.,Unit 4-D,Boston,MA,02125,Dorchester,1075,0,0,4,1
Brighton,47 Wallingford Rd.,Unit 6-F,Boston,MA,02135,Brighton,1075,0,0,9,2
Allston,11A Islington St.,Unit 7-G,Boston,MA,02134,Allston,1075,0,0,7,2
Dorchester,15 Romsey St.,Unit 4-D,Boston,MA,02125,Dorchester,1075,0,0,4,1
Dorchester,35 Newport St.,Unit 2-B,Boston,MA,02125,Dorchester,1075,0,0,4,1
Dorchester,19 Harvest St.,Unit 1-A,Boston,MA,02125,Dorchester,1075,0,0,4,1
Brighton,490 Washington St.,Unit 5-E,Boston,MA,02135,Brighton,1075,0,0,5,1
Dorchester,52 Crescent Ave.,Unit 4-D,Boston,MA,02125,Dorchester,1075,0,0,4,1
Brighton,36 Newcastle Rd.,Unit 7-G,Boston,MA,02135,Brighton,1075,0,0,7,2
Dorchester,23 Newport St.,Unit 4-D,Boston,MA,02125,Dorchester,1075,0,0,5,2
Allston,11A Islington St.,Unit 7-G,Boston,MA,02134,Allston,1075,0,0,7,2
Allston,11 Islington St.,Unit 5-E,Boston,MA,02134,Allston,1075,0,0,7,2
Dorchester,105 Walnut St.,Unit 5-E,Boston,MA,02145,Dorchester,1075,0,0,5,1
Brighton,45 Montcalm,Unit 6-F,Boston,MA,02135,Brighton,1075,0,0,7,2
Brighton,47 Wallingford Rd.,Unit 6-F,Boston,MA,02135,Brighton,1075,0,0,9,2
Allston,5 Linden St.,Unit 1-A,Boston,MA,02134,Allston,1075,0,0,5,2
Brighton,56 Ridgemont St.,Unit 1-A,Boston,MA,02134,Brighton,1075,0,0,5,2
Dorchester,57 Pleasant St.,Unit 3-C,Boston,MA,02125,Dorchester,1075,0,0,4,2
Dorchester,61 Lithgow St.,Unit 2-B,Boston,MA,02124,Dorchester,1075,0,0,4,1
Jamaica Plain,807 Centre St.,Unit 3,Boston,MA,02130,Jamaica Plain,1085,0,0,3,1
Brighton,42 Orchard Rd.,Unit 4-D,Boston,MA,02445,Brighton,1100,0,0,5,2
Brighton,7 Lothian Rd.,Unit 11 Room 1,Boston,MA,02135,Brighton,1100,0,0,3,1
Dorchester,23 Newport St.,Unit 5-E,Boston,MA,02125,Dorchester,1100,0,0,5,2
Dorchester,33 Howell St.,Unit 2-B,Boston,MA,02125,Dorchester,1100,0,0,3,1
Brighton,42 Orchard Rd.,Unit 1-A,Boston,MA,02445,Brighton,1100,0,0,5,2
Mission Hill,101 Calumet St.,Unit 4-D,Boston,MA,02120,Mission Hill,1100,0,0,4,1
Brighton,47 Wallingford Rd.,Unit 5-E,Boston,MA,02135,Brighton,1100,0,0,9,2
Brighton,129 Sutherland,Boston,MA,02135,Brighton,1100,0,0,5,1
Allston,4 Haskell St.,Unit 3-C,Boston,MA,02134,Allston,1100,0,0,6,2
Dorchester,35 Newport St.,Unit 1-A,Boston,MA,02125,Dorchester,1100,0,0,4,1
Brighton,33-35 Dickinson Rd.,Unit 4-D,Boston,MA,02135,Brighton,1100,0,0,4,1
Mission Hill,1 Folsom Ave.,Unit 3-C,Boston,MA,02120,Mission Hill,1100,0,0,4,1
Brighton,47 Wallingford Rd.,Unit 7-G,Boston,MA,02135,Brighton,1100,0,0,9,2
Allston,30 Wadsworth St.,Boston,MA,02134,Allston,1100,0,0,4,2
Mission Hill,122 Hillside St.,Unit 2-B,Boston,MA,02120,Mission Hill,1100,0,0,4,1
Brighton,47 Wallingford Rd.,Unit 5-E,Boston,MA,02135,Brighton,1100,0,0,9,2
Dorchester,105 Walnut St.,Unit 4-D,Boston,MA,02145,Dorchester,1100,0,0,5,1
Dorchester,35 Newport St.,Unit 1-A,Boston,MA,02125,Dorchester,1100,0,0,4,1
Dorchester,33 Howell St.,Unit 2-B,Boston,MA,02125,Dorchester,1100,0,0,3,1
Brighton,4 Sparhawk St.,Unit 2-B,Boston,MA,02135,Brighton,1100,0,0,6,1
Brighton,4 Sparhawk St.,Unit 5-E,Boston,MA,02135,Brighton,1100,0,0,6,1
Brighton,42 Orchard Rd.,Unit 4-D,Boston,MA,02445,Brighton,1100,0,0,5,2
Brighton,129 Sutherland,Boston,MA,02135,Brighton,1100,0,0,5,1
Brighton,45 Montcalm,Unit 5-E,Boston,MA,02135,Brighton,1100,0,0,7,2
Brighton,42 Orchard Rd.,Unit 1-A,Boston,MA,02445,Brighton,1100,0,0,5,2
Allston,4 Haskell St.,Unit 3-C,Boston,MA,02134,Allston,1100,0,0,6,2
Back Bay,106 Beacon St.,Unit 4-D,Boston,MA,02143,Back Bay,1125,0,0,5,1
Allston,76 Easton St.,Unit 4-D,Boston,MA,02134,Allston,1125,0,0,4,2
Roxbury,35 Catawba St.,Unit 4-D,Boston,MA,02119,Roxbury,1125,0,0,4,1
Brighton,129 Chiswick Rd.,Unit 5-E,Boston,MA,02135,Brighton,1125,0,0,5,2
Brighton,90 Harriet St.,Unit 3-C,Boston,MA,02135,Brighton,1125,0,0,5,2
Allston,30 Royal St.,Unit 3-C,Boston,MA,02134,Allston,1125,0,0,6,2
Brighton,4 Sparhawk St.,Unit 1-A,Boston,MA,02135,Brighton,1125,0,0,6,1
Allston,5 Linden St.,Unit 3-C,Boston,MA,02134,Allston,1125,0,0,4,1
Allston,76 Easton St.,Unit 4-D,Boston,MA,02134,Allston,1125,0,0,4,2
Back Bay,106 Beacon St.,Unit 4-D,Boston,MA,02143,Back Bay,1125,0,0,5,1
Dorchester,29 Spring Garden St.,Unit 1-A,Boston,MA,02125,Dorchester,1125,0,0,6,2
Brighton,47 Wallingford Rd.,Unit 8-H,Boston,MA,02135,Brighton,1125,0,0,9,2
Dorchester,195 Hancock St.,Unit 1-A,Boston,MA,02125,Dorchester,1125,0,0,3,1
Brighton,28 Hunnewell Ave.,Unit 1-A,Boston,MA,02135,Brighton,1125,0,0,4,2
Brighton,53 Saunders St.,Unit 3-C,Boston,MA,02134,Brighton,1125,0,0,7,2
Dorchester,52 Crescent Ave.,Unit 2-B,Boston,MA,02125,Dorchester,1125,0,0,4,1
Brighton,490 Washington St.,Unit 4-D,Boston,MA,02135,Brighton,1125,0,0,4,1
Roxbury,35 Catawba St.,Unit 4-D,Boston,MA,02119,Roxbury,1125,0,0,4,1
Brighton,490 Washington St.,Unit 4-D,Boston,MA,02135,Brighton,1125,0,0,4,1
Allston,30 Royal St.,Unit 3-C,Boston,MA,02134,Allston,1125,0,0,6,2
Brighton,47 Wallingford Rd.,Unit 8-H,Boston,MA,02135,Brighton,1125,0,0,9,2
Dorchester,29 Spring Garden St.,Unit 4-D,Boston,MA,02125,Dorchester,1150,0,0,6,2
Dorchester,57 Pleasant St.,Unit 1-A,Boston,MA,02125,Dorchester,1150,0,0,4,2
Back Bay,106 Beacon St.,Unit 2-B,Boston,MA,02143,Back Bay,1150,0,0,5,1
Brighton,23 Egremont Rd.,Unit 1-6D,Boston,MA,02135,Brighton,1150,0,0,4,2
Brighton,81 Brayton Rd.,Unit 3-C,Boston,MA,02135,Brighton,1150,0,0,5,2
Brighton,1682 Commonwealth Ave.,Unit 5-E,Boston,MA,02135,Brighton,1150,0,0,5,2
Mission Hill,7 Iroquois St.,Unit 2-B,Boston,MA,02120,Mission Hill,1150,0,0,4,1
Brighton,28 Hunnewell Ave.,Unit 4-D,Boston,MA,02135,Brighton,1150,0,0,4,2
Allston,11A Islington St.,Unit 4-D,Boston,MA,02134,Allston,1150,0,0,7,2
Brighton,47 Wallingford Rd.,Unit 4-D,Boston,MA,02135,Brighton,1150,0,0,9,2
Brighton,29 Cummings Rd.,Unit 2-B,Boston,MA,02135,Brighton,1150,0,0,4,1
Allston,19 Highgate St.,Unit 3-C,Boston,MA,02134,Allston,1150,0,0,4,1
Allston,20 Alcott St.,Unit 2-B,Boston,MA,02134,Allston,1150,0,0,5,2
Brighton,104 Academy Hill Rd.,Unit 4-D,Boston,MA,02135,Brighton,1150,0,0,6,4
Brighton,29 Cummings Rd.,Unit 2-B,Boston,MA,02135,Brighton,1150,0,0,4,1
Dorchester,57 Pleasant St.,Unit 1-A,Boston,MA,02125,Dorchester,1150,0,0,4,2
Brighton,47 Wallingford Rd.,Unit 4-D,Boston,MA,02135,Brighton,1150,0,0,9,2
Brighton,129 Chiswick Rd.,Unit 3-C,Boston,MA,02135,Brighton,1150,0,0,5,2
Allston,11A Islington St.,Unit 4-D,Boston,MA,02134,Allston,1150,0,0,7,2
