Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath
Roxbury,21 Alpine Unit 2,4850,0.38,0.07,4.0,2.0
Roxbury,129 Cedar St Unit 1,4100,0.38,0.07,4.0,2.0
Roxbury,93 George Unit 1,2950,0.38,0.07,2.0,1.0
Roxbury,93 George Unit 3,3295,0.38,0.07,3.0,1.0
Roxbury,190 Highland St Unit 1,3300,0.38,0.07,3.0,1.0
Roxbury,2969 Washington Unit B,2850,0.38,0.07,1.0,1.0
Roxbury,2971 Washington Unit A,2995,0.38,0.07,2.0,1.0
Roxbury,2973 Washington Unit 1,3025,0.38,0.07,2.0,1.0
Roxbury,2975 Washington Unit 2,3750,0.38,0.07,3.0,2.0
Medford,124 Bonner Unit 2,4225,,,4.0,2.0
Medford,313 Cambridge Unit 1,3995,,,4.0,1.0
Medford,313 Cambridge Unit 2,4445,,,4.0,1.0
Medford,74 Gore Unit 3,3445,,,3.0,1.0
Medford,58 Medford Unit 3,3195,,,3.0,1.0
Medford,585 Somerville Unit A-1,4355,,,4.0,2.0
Medford,68 Winchester Unit 2,4595,,,,
DowntownSouth End,81 Essex Unit 36,2600,,,1.0,1.0
DowntownSouth End,81 Essex Unit 22,3595,,,2.0,1.0
DowntownSouth End,601 Albany st  Unit 506,3400,,,1.0,1.0
DowntownSouth End,601 Albany st  Unit 607,4200,,,,
