Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit_distance,Northeastern University_transit_cost,Northeastern University_driving_distance,Boston University_transit_distance,Boston University_transit_cost,Boston University_driving_distance,Boston College_transit_distance,Boston College_transit_cost,Boston College_driving_distance
Kenmore,"41 Bay State Rd.,Unit 2F,Boston,MA,02215,Kenmore",2900,0,0,1,1,1563,2.4,1109,426,0,426,7206,2.4,6893
Kenmore,"41 Bay State Rd.,Unit BF,Boston,MA,02215,Kenmore",2900,0,0,1,1,1565,2.4,1106,428,0,428,7208,2.4,6895
Fenway,"111 Norway St.,Unit B2,Boston,MA,02115,Fenway",2900,0,0,1,1,327,0,1829,3409,2.4,1226,8103,2.4,12249
Dorchester,"361 Adams,Unit 3,Boston,MA,02122,Dorchester",2900,0,0,2,1,7987,1.7,7962,11387,3.4,14175,18156,2.4,22680
Coolidge Corner,"211 Saint Paul St.,Unit 5,Brookline,MA,02446,Coolidge Corner",2900,0,0,2,1,3413,2.4,2918,890,0,952,4860,2.4,4577
Hyde Park,"15 Dana Ave.,Unit 6,Boston,MA,02136,Hyde Park",2900,0,0,2,2,10062,6.5,10233,13476,8.2,12167,19384,7.5,13168
Hyde Park,"1915 River,Unit 1,Boston,MA,02136,Hyde Park",2900,0,0,2,1,13078,7,15371,16492,8.7,15011,24621,5.8,13290
Beacon Hill,"130 Bowdoin St.,Unit 502,Boston,MA,02108,Beacon Hill",2900,0,0,1,1,3778,2.4,4659,7050,4.1,4143,10405,2.4,14819
Beacon Hill,"130 Bowdoin St.,Unit 506,Boston,MA,02108,Beacon Hill",2900,0,0,1,1,3778,2.4,4659,7050,4.1,4143,10405,2.4,14819
Dorchester,"51 Codman Hill Ave.,Unit 1,Boston,MA,02124,Dorchester",2900,0,0,2,1,9586,3.4,10987,12986,5.1,17200,21139,4.1,12560
Hyde Park,"15 Dana Ave.,Unit 6,Boston,MA,02136,Hyde Park",2900,0,0,2,2,10062,6.5,10233,13476,8.2,12167,19384,7.5,13168
Jamaica Plain,"2 Pond St.,Unit 1,Boston,MA,02130,Jamaica Plain",2900,0,0,2,2,4589,1.7,3738,6615,3.4,4824,14395,4.1,6642
Harvard Square,"1619 Massachusetts Ave.,Unit 2B,Cambridge,MA,02138,Harvard Square",2900,0,0,2,1,6613,3.4,7521,11763,4.1,5250,16458,4.1,9327
Jamaica Plain,"225 Centre,Unit 704,Boston,MA,02119,Jamaica Plain",2900,0,0,1,1,2691,1.7,1936,6091,3.4,4040,9855,5.8,7384
Jamaica Plain,"1 Mark St.,Unit 3,Boston,MA,02130,Jamaica Plain",2900,0,0,2,1,3820,1.7,2769,5846,3.4,3963,13626,4.1,6582
Jamaica Plain,"3531 Washington St.,Unit 206,Boston,MA,02130,Jamaica Plain",2900,0,0,1,1,6104,4.1,4325,8664,3.4,7288,13215,5.8,8305
Jamaica Plain,"225 Centre St.,Unit 704,Boston,MA,02119,Jamaica Plain",2900,0,0,1,1,2691,1.7,1936,6091,3.4,4040,9855,5.8,7384
Brighton,"35 Hunnewell,Unit B,Boston,MA,02135,Brighton",2900,0,0,2,1,9974,3.4,12064,4772,1.7,8772,2258,1.7,2885
Harvard Square,"375 Harvard St.,Unit 11,Cambridge,MA,02138,Harvard Square",2900,0,0,2,1,4794,1.7,5608,6741,4.1,3163,11435,4.1,9347
Harvard Square,"375 Harvard St.,Unit 4A,Cambridge,MA,02138,Harvard Square",2900,0,0,1,1,4794,1.7,5608,6741,4.1,3163,11435,4.1,9347
Jamaica Plain,"2 Pond St.,Unit 1,Boston,MA,02130,Jamaica Plain",2900,0,0,2,2,4589,1.7,3738,6615,3.4,4824,14395,4.1,6642
Allston,"1197 Commonwealth Ave.,Unit 14,Boston,MA,02134,Allston",2900,0,0,1,1,5038,4.1,5730,1179,2.4,1069,3969,2.4,3839
Jamaica Plain,"50 Evergreen St.,Unit 11,Boston,MA,02130,Jamaica Plain",2900,0,0,2,1,2815,2.4,2745,5672,3.4,3801,13452,4.1,6690
Charlestown,"98 Baldwin,Unit 1,Boston,MA,02129,Charlestown",2900,0,0,1,1,9831,4.1,8195,9932,4.1,7679,14627,4.1,18355
North Cambridge,"93 Harvey St.,Unit 7,Cambridge,MA,02140,North Cambridge",2900,0,0,1,1,11509,3.4,10510,8570,5.1,6854,11588,5.8,10892
Allston,"1197 Commonwealth Ave.,Unit 15,Boston,MA,02134,Allston",2900,0,0,1,1,5038,4.1,5730,1179,2.4,1069,3969,2.4,3839
Coolidge Corner,"211 Saint Paul St.,Unit 5,Brookline,MA,02446,Coolidge Corner",2900,0,0,2,1,3413,2.4,2918,890,0,952,4860,2.4,4577
Brighton,"16 Montfern Ave.,Unit 1,Boston,MA,02135,Brighton",2900,0,0,2,1,9399,3.4,10617,4197,1.7,4742,1599,0,2362
Kenmore,"41 Bay State Rd.,Unit BF,Boston,MA,02215,Kenmore",2900,0,0,1,1,1565,2.4,1106,428,0,428,7208,2.4,6895
Brighton,"1550 Soldiers Field Rd.,Unit 604,Boston,MA,02135,Brighton",2901,0,0,1,1,10769,5.1,8280,5568,3.4,6786,5028,4.1,3708
Brighton,"125 Guest St.,Unit 334,Boston,MA,02135,Brighton",2905,0,0,1,1,7728,3.4,8758,2526,1.7,2372,4287,4.1,3388
North Cambridge,"165 Cambridge Park Dr.,Unit 511,Cambridge,MA,02140,North Cambridge",2918,0,0,1,1,21873,4.1,10014,15597,2.4,8520,20292,2.4,10396
North Cambridge,"203 Concord Turnpike,Unit 2606,Cambridge,MA,02140,North Cambridge",2921,0,0,1,1,22282,4.1,10600,16006,2.4,9106,20701,2.4,10982
Jamaica Plain,"250 Centre,Unit 407,Boston,MA,02119,Jamaica Plain",2933,0,0,1,1,2672,1.7,1990,6072,3.4,4920,9836,5.8,7330
North Cambridge,"160 Cambridgepark Dr.,Unit 108,Cambridge,MA,02140,North Cambridge",2945,0,0,1,1,21931,4.1,10073,15655,2.4,8579,20350,2.4,10455
Beacon Hill,"40 Revere St.,Unit 6,Boston,MA,02114,Beacon Hill",2950,0,0,1,1,4721,1.7,4310,5930,2.4,3794,10624,2.4,14470
Harvard Square,"1170 Massachusetts Ave.,Unit 7,Cambridge,MA,02138,Harvard Square",2950,0,0,1,1,4742,1.7,5443,6689,4.1,2998,11383,4.1,9182
Brighton,"1501 Commonwealth,Unit 304,Boston,MA,02135,Brighton",2950,0,0,1,1,5464,2.4,6640,2244,2.4,2566,3309,2.4,2705
Coolidge Corner,"70 Centre St.,Unit 3E,Brookline,MA,02446,Coolidge Corner",2950,0,0,1,1,4395,1.7,3289,2251,4.1,1595,5041,4.1,4153
Charlestown,"42 8,Unit 3308,Boston,MA,02129,Charlestown",2950,0,0,1,1,8422,4.1,7233,11296,5.8,6717,13684,4.1,17393
Dorchester,"5 Saint Margaret St.,Unit 2,Boston,MA,02125,Dorchester",2950,0,0,2,2,7605,3.4,3188,9224,3.4,10219,12595,7.5,18751
Back Bay,"220 Newbury,Unit 7,Boston,MA,02116,Back Bay",2950,0,0,1,1,2325,1.7,1967,4149,2.4,1517,8844,2.4,7682
Mission Hill,"256 Parker Hill Ave.,Unit 13,Boston,MA,02120,Mission Hill",2950,0,0,2,1,2552,1.7,1779,5952,3.4,3110,8615,4.1,7042
Coolidge Corner,"70 Centre St.,Unit 3E,Brookline,MA,02446,Coolidge Corner",2950,0,0,1,1,4395,1.7,3289,2251,4.1,1595,5041,4.1,4153
Brighton,"11 Wilson park,Unit 3A,Boston,MA,02135,Brighton",2950,0,0,2,1,6293,2.4,5292,3073,2.4,3006,2186,2.4,2047
Brighton,"69 Chiswick Rd.,Unit 9,Boston,MA,02135,Brighton",2950,0,0,2,1,6682,2.4,5808,3462,2.4,3522,1780,2.4,1573
Brookline Village,"38 Juniper St.,Unit 114,Brookline,MA,02445,Brookline Village",2950,0,0,2,1,2401,2.4,2355,2963,3.4,3318,6797,4.1,5630
Harvard Square,"1170 Massachusetts Ave.,Unit 7,Cambridge,MA,02138,Harvard Square",2950,0,0,1,1,4742,1.7,5443,6689,4.1,2998,11383,4.1,9182
East Boston,"99 Sumner St.,Unit 201,Boston,MA,02128,East Boston",2950,0,0,1,1,6460,2.4,8114,8376,2.4,7598,13071,2.4,18274
Allston,"53 Ashford St.,Unit 3,Boston,MA,02134,Allston",2950,0,0,2,1,4450,4.1,5678,923,0,1506,5051,2.4,4618
Charlestown,"42 8th,Unit 5313,Boston,MA,02129,Charlestown",2950,0,0,1,1,8422,4.1,7233,11296,5.8,6717,13684,4.1,17393
Coolidge Corner,"70 Centre St.,Unit 3E,Brookline,MA,02446,Coolidge Corner",2950,0,0,1,1,4395,1.7,3289,2251,4.1,1595,5041,4.1,4153
Allston,"15 North Beacon St.,Unit 801,Boston,MA,02134,Allston",2950,0,0,2,1,7021,3.4,8250,1819,1.7,2308,4121,2.4,3553
Brighton,"103 Lake Shore Rd.,Unit 2,Boston,MA,02135,Brighton",2950,0,0,2,1,9850,3.4,11386,4648,1.7,4621,920,0,2351
Brighton,"61 Selkirk Rd.,Unit 1,Boston,MA,02115,Brighton",2950,0,0,2,1,6716,2.4,5842,3496,2.4,3556,1814,2.4,1607
Allston,"26 Allston St.,Unit 5,Boston,MA,02134,Allston",2950,0,0,2,1,6801,3.4,5982,1599,1.7,1479,3763,2.4,3546
Dorchester,"5 Saint Margaret St.,Unit 2,Boston,MA,02125,Dorchester",2950,0,0,2,2,7605,3.4,3188,9224,3.4,10219,12595,7.5,18751
Jamaica Plain,"101 Day St.,Unit 1,Boston,MA,02130,Jamaica Plain",2950,0,0,2,1,2973,2.4,2703,5830,3.4,3975,13610,4.1,6864
Back Bay,"24 Isabella,Unit 3,Boston,MA,02116,Back Bay",2950,0,0,2,1,2497,1.7,2301,10397,3.4,2893,9538,2.4,14323
Brookline Village,"38 Juniper St.,Unit 114,Brookline,MA,02445,Brookline Village",2950,0,0,2,1,2401,2.4,2355,2963,3.4,3318,6797,4.1,5630
West Roxbury,"45 Clement Ave.,Unit 1,Boston,MA,02132,West Roxbury",2950,0,0,2,1,11531,4.1,9775,12212,5.1,9415,19928,5.8,7694
Dorchester,"21 Pleasant St.,Unit 3,Boston,MA,02125,Dorchester",2950,0,0,2,1,6114,1.7,3456,9522,3.4,11570,12674,5.8,20075
Harvard Square,"1170 Massachusetts Ave.,Unit 7,Cambridge,MA,02138,Harvard Square",2950,0,0,1,1,4742,1.7,5443,6689,4.1,2998,11383,4.1,9182
North Cambridge,"165 Cambridge Park Dr.,Unit 611,Cambridge,MA,02140,North Cambridge",2955,0,0,1,1,21873,4.1,10014,15597,2.4,8520,20292,2.4,10396
North Cambridge,"160 Cambridgepark Dr.,Unit 186,Cambridge,MA,02140,North Cambridge",2955,0,0,1,1,21931,4.1,10073,15655,2.4,8579,20350,2.4,10455
Brighton,"125 Guest St.,Unit 718,Boston,MA,02135,Brighton",2955,0,0,1,1,7725,3.4,8760,2523,1.7,2369,4289,4.1,3390
North Cambridge,"165 Cambridge Park Dr.,Unit 631,Cambridge,MA,02140,North Cambridge",2958,0,0,1,1,21873,4.1,10014,15597,2.4,8520,20292,2.4,10396
Brighton,"67 Chiswick Rd.,Unit 4,Boston,MA,02134,Brighton",2960,0,0,2,1,6678,2.4,5803,3458,2.4,3517,1776,2.4,1568
North Cambridge,"160 Cambridgepark Dr.,Unit 567,Cambridge,MA,02140,North Cambridge",2960,0,0,1,1,21931,4.1,10073,15655,2.4,8579,20350,2.4,10455
Brighton,"1925 Commonwealth,Unit 1017,Boston,MA,02135,Brighton",2975,0,0,1,1,7050,2.4,11697,3830,2.4,3923,1570,2.4,1000
Charlestown,"33 3rd Ave.,Unit 313,Boston,MA,02129,Charlestown",2975,0,0,1,1,8217,4.1,7502,8784,4.1,6986,13479,4.1,17662
North Cambridge,"80 Cambridgepark Dr.,Unit 447,Cambridge,MA,02140,North Cambridge",2979,0,0,1,1,17854,0,10062,15601,2.4,8568,20296,2.4,10444
Harvard Square,"1 Langdon St.,Unit 33,Cambridge,MA,02138,Harvard Square",2980,0,0,1,1,6544,3.4,7040,6185,5.1,4769,16389,4.1,8846
West Roxbury,"30 Rockingham Ave.,Unit 514,Boston,MA,02132,West Roxbury",2980,0,0,2,1,16045,5.1,12676,13806,5.1,12316,21586,5.8,10595
North Cambridge,"160 Cambridgepark Dr.,Unit 389,Cambridge,MA,02140,North Cambridge",2985,0,0,1,1,18078,0,10073,15655,2.4,8579,20350,2.4,10455
Brighton,"125 Guest St.,Unit 806,Boston,MA,02135,Brighton",2989,0,0,1,1,7732,3.4,8753,2530,1.7,2377,4282,4.1,3383
Brighton,"67 Chiswick Rd.,Unit 8,Boston,MA,02134,Brighton",2990,0,0,2,1,6678,2.4,5803,3458,2.4,3517,1776,2.4,1568
Brighton,"530 Western Ave.,Unit 431,Boston,MA,02135,Brighton",2990,0,0,1,1,7485,3.4,7842,6251,3.4,6348,4694,4.1,4402
Chinatown,"94-96 Tyler St.,Unit F,Boston,MA,02111,Chinatown",2995,0,0,2,1,3228,1.7,4077,6821,4.1,3947,10486,2.4,15480
North Cambridge,"160 Cambridgepark Dr.,Unit 167,Cambridge,MA,02140,North Cambridge",2995,0,0,1,1,18078,0,10073,15655,2.4,8579,20350,2.4,10455
Roslindale,"1021-1023 Canterbury St.,Unit 3,Boston,MA,02131,Roslindale",2995,0,0,2,1,9177,3.4,7595,11088,5.8,9529,18983,5.8,10624
Allston,"1130 Commonwealth Ave.,Unit 8,Boston,MA,02134,Allston",2995,0,0,2,1,4099,2.4,4139,879,2.4,704,4712,2.4,4856
Harvard Square,"29 Concord Ave.,Unit 104,Cambridge,MA,02138,Harvard Square",2995,0,0,1,1,6576,3.4,6994,11726,4.1,4723,16421,4.1,8790
Chinatown,"94-96 Tyler St.,Unit F,Boston,MA,02111,Chinatown",2995,0,0,2,1,3228,1.7,4077,6821,4.1,3947,10486,2.4,15480
Chinatown,"94-96 Tyler St.,Unit W,Boston,MA,02111,Chinatown",2995,0,0,2,1,3228,1.7,4077,6821,4.1,3947,10486,2.4,15480
Coolidge Corner,"70 Saint Paul St.,Unit 54-4,Brookline,MA,02446,Coolidge Corner",2995,0,0,1,1,3976,1.7,2709,3325,4.1,1609,6115,4.1,4541
North Cambridge,"160 Cambridgepark Dr.,Unit 167,Cambridge,MA,02140,North Cambridge",2995,0,0,1,1,18078,0,10073,15655,2.4,8579,20350,2.4,10455
Brighton,"125 Guest St.,Unit 1405,Boston,MA,02135,Brighton",2997,0,0,1,1,7732,3.4,8753,2530,1.7,2377,4282,4.1,3383
Dorchester,"123 Intervale St.,Unit 1,Boston,MA,02121,Dorchester",3000,0,0,2,2,5725,3.4,4413,8506,3.4,13518,17017,4.1,11916
Fenway,"77 Park Dr.,Unit A,Boston,MA,02215,Fenway",3000,0,0,2,1,304,0,974,2927,1.7,1744,8045,2.4,6691
East Boston,"276 Princeton St.,Unit 1,Boston,MA,02128,East Boston",3000,0,0,2,1,9387,2.4,9300,10700,2.4,8784,14609,4.1,21622
Charlestown,"368 Main St.,Unit 2,Boston,MA,02129,Charlestown",3000,0,0,1,1,7249,0,6213,10657,4.1,5697,15352,4.1,16373
Back Bay,"396 Beacon St.,Unit 7,Boston,MA,02116,Back Bay",3000,0,0,1,1,1874,1.7,1570,1051,0,1051,8293,2.4,12018
Brighton,"90 Kilsyth Rd.,Unit 44,Boston,MA,02135,Brighton",3000,0,0,1,1,6486,2.4,5072,3266,2.4,3283,2379,2.4,2460
Dorchester,"699 Adams St.,Unit 0,Boston,MA,02122,Dorchester",3000,0,0,2,1,10169,4.1,9730,15615,2.4,15943,20310,2.4,14222
Brighton,"185 Chestnut Hill Ave.,Unit 15,Boston,MA,02135,Brighton",3000,0,0,2,1,7634,2.4,7792,4413,2.4,4017,1274,2.4,1072
Harvard Square,"988 Memorial Dr.,Unit 187,Cambridge,MA,02138,Harvard Square",3000,0,0,1,1,9418,2.4,6237,5242,3.4,3966,8260,4.1,8040
Brighton,"69 Chiswick Rd.,Unit 6,Boston,MA,02135,Brighton",3000,0,0,2,1,6681,2.4,5807,3461,2.4,3521,1779,2.4,1572
Allston,"1197 Commonwealth Ave.,Unit 18,Boston,MA,02134,Allston",3000,0,0,2,1,4399,2.4,5730,1179,2.4,1069,3969,2.4,3839
Mid Cambridge,"334 Harvard St.,Unit H3,Cambridge,MA,02139,Mid Cambridge",3000,0,0,1,1,4617,1.7,5884,6564,4.1,3440,11258,4.1,9623
Brighton,"50 Hichborn St.,Unit 204,Boston,MA,02135,Brighton",3000,0,0,1,1,7819,3.4,8686,2617,1.7,2318,3803,4.1,3339
Charlestown,"368 Main St.,Unit 2,Boston,MA,02129,Charlestown",3000,0,0,1,1,7249,0,6213,10657,4.1,5697,15352,4.1,16373
North End,"99 Salem St.,Unit 2,Boston,MA,02113,North End",3000,0,0,2,1,4643,2.4,6448,8422,4.1,5163,11164,2.4,17867
Allston,"1197 Commonwealth Ave.,Unit 18,Boston,MA,02134,Allston",3000,0,0,2,1,4399,2.4,5730,1179,2.4,1069,3969,2.4,3839
North End,"8 Unity St.,Unit 2,Boston,MA,02113,North End",3000,0,0,2,1,5379,2.4,7247,9264,4.1,5753,12007,2.4,18666
Coolidge Corner,"60 Babcock St.,Unit 86,Brookline,MA,02446,Coolidge Corner",3000,0,0,1,1,4666,1.7,3220,980,0,980,5260,4.1,4492
East Boston,"277 Border St.,Unit 501,Boston,MA,02128,East Boston",3000,0,0,1,1,7907,4.1,7880,9221,4.1,7364,13916,4.1,18040
Brookline Village,"7 High Street Pl.,Unit 1,Brookline,MA,02445,Brookline Village",3000,0,0,2,1,4057,1.7,3072,3632,3.4,3244,7401,4.1,5573
Allston,"1189 Commonwealth Ave.,Unit 8,Boston,MA,02134,Allston",3000,0,0,2,1,4429,2.4,5760,1209,2.4,1099,3999,2.4,3869
Jamaica Plain,"4 Glade Ave.,Unit 3,Boston,MA,02130,Jamaica Plain",3000,0,0,2,1,4895,1.7,3829,7655,4.1,6310,11809,6.5,8087
Dorchester,"23 Saxton St.,Unit 2,Boston,MA,02125,Dorchester",3000,0,0,2,1,9708,2.4,4291,12919,4.1,12126,16310,2.4,20631
Brighton,"370 Chestnut Hill Ave.,Unit 54,Boston,MA,02135,Brighton",3000,0,0,1,1,6253,2.4,5728,3903,2.4,3980,1643,2.4,1430
Fenway,"111 Norway St.,Unit 301,Boston,MA,02115,Fenway",3000,0,0,1,1,327,0,1829,3409,2.4,1226,8103,2.4,12249
Dorchester,"1258 Massachusetts Ave.,Unit 604,Boston,MA,02125,Dorchester",3000,0,0,2,2,5637,1.7,3178,9045,3.4,10742,15949,4.1,20004
Beacon Hill,"85 Myrtle St.,Unit 6,Boston,MA,02113,Beacon Hill",3000,0,0,1,1,4669,1.7,4301,6102,2.4,3785,10797,2.4,14461
Brighton,"370 Chestnut Hill Ave.,Unit 54,Boston,MA,02135,Brighton",3000,0,0,1,1,6253,2.4,5728,3903,2.4,3980,1643,2.4,1430
Fenway,"111 Norway St.,Unit 301,Boston,MA,02115,Fenway",3000,0,0,1,1,327,0,1829,3409,2.4,1226,8103,2.4,12249
Dorchester,"57 Old Morton,Unit 1,Boston,MA,02126,Dorchester",3000,0,0,2,1,10840,3.4,11478,14240,5.1,17691,17298,7.5,13198
Mid Cambridge,"4 Crawford St.,Unit 11,Cambridge,MA,02139,Mid Cambridge",3000,0,0,1,1,4526,1.7,4308,6473,4.1,3698,11167,4.1,9811
Allston,"1197 Commonwealth Ave.,Unit 8,Boston,MA,02134,Allston",3000,0,0,1,1,4399,2.4,5730,1179,2.4,1069,3969,2.4,3839
Dorchester,"127 Pleasant St.,Unit 1,Boston,MA,02125,Dorchester",3000,0,0,2,2,5533,1.7,4028,8933,3.4,12266,13045,5.8,13375
Allston,"1185 Commonwealth Ave.,Unit 5,Boston,MA,02134,Allston",3000,0,0,2,1,5083,4.1,5776,1225,2.4,1115,4015,2.4,3885
Back Bay,"62 Boylston St.,Unit 521,Boston,MA,02116,Back Bay",3000,0,0,1,1,3235,2.4,2758,5155,2.4,3502,9849,2.4,14882
Allston,"9 Gardner St.,Unit 5,Boston,MA,02134,Allston",3000,0,0,2,1,5271,4.1,5512,1377,1.7,1260,4343,2.4,4113
Beacon Hill,"42 Phillips St.,Unit 3,Boston,MA,02114,Beacon Hill",3000,0,0,2,1,4797,2.4,4494,6700,2.4,3978,11395,2.4,14654
East Boston,"270 Paris St.,Unit 1,Boston,MA,02128,East Boston",3000,0,0,2,1,7566,2.4,7869,9482,2.4,7353,14177,2.4,18029
East Boston,"133 Paris St.,Unit 2,Boston,MA,02128,East Boston",3000,0,0,2,1,6682,2.4,8014,8598,2.4,7498,13293,2.4,18174
Allston,"1197 Commonwealth Ave.,Unit 18,Boston,MA,02134,Allston",3000,0,0,2,1,5038,4.1,5730,1179,2.4,1069,3969,2.4,3839
East Boston,"270 Paris St.,Unit 1,Boston,MA,02128,East Boston",3000,0,0,2,1,7566,2.4,7869,9482,2.4,7353,14177,2.4,18029
East Boston,"133 Paris St.,Unit 2,Boston,MA,02128,East Boston",3000,0,0,2,1,6682,2.4,8014,8598,2.4,7498,13293,2.4,18174
Roxbury,"22 Anita Ter.,Unit 1,Boston,MA,02119,Roxbury",3000,0,0,2,1,1452,1.7,1559,5098,3.4,3551,8954,4.1,7907
Allston,"75 Braintree st.,Unit 207,Boston,MA,02134,Allston",3000,0,0,1,1,6373,1.7,5521,1928,1.7,1731,4814,2.4,3825
Mission Hill,"841 Parker,Unit 202,Boston,MA,02120,Mission Hill",3000,0,0,1,1,2427,1.7,1817,5827,3.4,4059,8832,4.1,7259
Allston,"1193 Commonwealth Ave.,Unit 10,Boston,MA,02134,Allston",3000,0,0,2,1,5053,4.1,5745,1194,2.4,1084,3984,2.4,3854
West Roxbury,"4945 Washington,Unit 206,Boston,MA,02132,West Roxbury",3000,0,0,2,2,15222,5.1,11947,12983,5.1,11587,20763,5.8,9866
Roxbury,"57 Batchelder,Unit 3,Boston,MA,02119,Roxbury",3000,0,0,2,2,3950,1.7,2422,7350,3.4,5149,11462,5.8,10591
Roxbury,"1782 Washington St.,Unit D,Boston,MA,02118,Roxbury",3000,0,0,2,1,1100,1.7,1072,4682,4.1,2564,9376,4.1,9919
Roxbury,"1782 Washington St.,Unit A,Boston,MA,02118,Roxbury",3000,0,0,2,1,1100,1.7,1072,4682,4.1,2564,9376,4.1,9919
Roxbury,"22 Anita Ter.,Unit 1,Boston,MA,02119,Roxbury",3000,0,0,2,1,1452,1.7,1559,5098,3.4,3551,8954,4.1,7907
Back Bay,"465 Commonwealth Ave.,Unit 4,Boston,MA,02215,Back Bay",3000,0,0,1,1,1810,1.7,1483,364,0,336,7207,2.4,6500
Jamaica Plain,"66 Williams,Unit 3,Boston,MA,02130,Jamaica Plain",3000,0,0,2,1,6426,4.1,4531,8809,3.4,8051,11820,6.5,9068
Allston,"1189 Commonwealth Ave.,Unit 8,Boston,MA,02134,Allston",3000,0,0,2,1,5068,4.1,5760,1209,2.4,1099,3999,2.4,3869
Jamaica Plain,"29 Woodlawn St.,Unit 1,Boston,MA,02130,Jamaica Plain",3000,0,0,2,1,6730,1.7,5159,8628,4.1,7210,16536,4.1,8227
Kenmore,"879 Beacon St.,Unit 21,Boston,MA,02215,Kenmore",3000,0,0,1,1,3010,1.7,1683,622,1.7,608,6445,2.4,5555
Kenmore,"879 Beacon St.,Unit 21,Boston,MA,02215,Kenmore",3000,0,0,1,1,3010,1.7,1683,622,1.7,608,6445,2.4,5555
Jamaica Plain,"69 Mozart St.,Unit 3,Boston,MA,02130,Jamaica Plain",3000,0,0,2,1,3201,1.7,2699,6666,4.1,4773,10821,6.5,7183
Brighton,"90 Kilsyth Rd.,Unit 44,Boston,MA,02135,Brighton",3000,0,0,1,1,9237,2.4,5072,3266,2.4,3283,2379,2.4,2460
West Roxbury,"6 Ledgewood Rd.,Unit 2,Boston,MA,02132,West Roxbury",3000,0,0,2,1,16236,5.1,10546,13997,5.1,10186,21777,5.8,6042
Jamaica Plain,"14 Holbrook St.,Unit 1,Boston,MA,02130,Jamaica Plain",3000,0,0,2,1,5574,1.7,5836,7600,3.4,5476,15381,4.1,7225
Dorchester,"20 Howell St.,Unit 2,Boston,MA,02125,Dorchester",3000,0,0,2,1,8049,3.4,3361,10072,3.4,9953,13223,4.1,18485
Brookline Village,"7 High Street Pl.,Unit 1,Brookline,MA,02445,Brookline Village",3000,0,0,2,1,4057,1.7,3072,3632,3.4,3244,7401,4.1,5573
Roslindale,"62 Ainsworth St.,Unit 2,Boston,MA,02131,Roslindale",3000,0,0,2,1,8813,3.4,9533,13925,5.8,9173,18620,5.8,7896
Porter Square,"2 Arlington St.,Unit 31,Cambridge,MA,02140,Porter Square",3000,0,0,2,1,10653,2.4,7656,12556,2.4,5385,17251,2.4,9462
Harvard Square,"16 Chauncy St.,Unit 37,Cambridge,MA,02138,Harvard Square",3000,0,0,1,1,6762,3.4,7095,11801,4.1,4824,9103,4.1,8901
Mid Cambridge,"334 Harvard St.,Unit H3,Cambridge,MA,02139,Mid Cambridge",3000,0,0,1,1,4617,1.7,5884,6564,4.1,3440,11258,4.1,9623
Harvard Square,"988 Memorial Dr.,Unit 187,Cambridge,MA,02138,Harvard Square",3000,0,0,1,1,6065,1.7,6237,5242,3.4,3966,8260,4.1,8040
Mid Cambridge,"4 Crawford St.,Unit 11,Cambridge,MA,02139,Mid Cambridge",3000,0,0,1,1,4526,1.7,4308,6473,4.1,3698,11167,4.1,9811
Harvard Square,"333 Harvard St.,Unit 6A,Cambridge,MA,02138,Harvard Square",3000,0,0,2,1,4582,1.7,5849,6529,4.1,3405,11223,4.1,9588
Riverside,"22 Hingham St.,Unit C,Cambridge,MA,02138,Riverside",3000,0,0,1,1,5169,1.7,4719,4656,3.4,2274,11810,4.1,8458
Brighton,"90 Kilsyth Rd.,Unit 44,Boston,MA,02135,Brighton",3000,0,0,1,1,9237,2.4,5072,3266,2.4,3283,2379,2.4,2460
Kenmore,"137 Bay State Rd.,Unit 4,Boston,MA,02215,Kenmore",3000,0,0,2,1,1850,2.4,1609,283,0,1083,6697,2.4,6469
Fort Hill,"66 Saint James,Unit 209,Boston,MA,02119,Fort Hill",3000,0,0,2,1,2872,1.7,1903,5369,1.7,4007,9657,4.1,8843
Mid Cambridge,"872 Massachusetts Ave.,Unit 509,Cambridge,MA,01239,Mid Cambridge",3000,0,0,1,1,4033,1.7,5575,5980,4.1,2759,10674,4.1,9314
Dorchester,"23 Saxton St.,Unit 2,Boston,MA,02125,Dorchester",3000,0,0,2,1,11863,4.1,4291,12919,4.1,12126,16310,2.4,20631
North Cambridge,"2440 Massachusetts Ave.,Unit 17,Cambridge,MA,02140,North Cambridge",3000,0,0,2,2,8736,3.4,9135,8383,5.1,6864,11401,5.8,11112
Harvard Square,"333 Harvard St.,Unit 6A,Cambridge,MA,02138,Harvard Square",3000,0,0,2,1,4582,1.7,5849,6529,4.1,3405,11223,4.1,9588
Porter Square,"124 Oxford St.,Unit 1,Cambridge,MA,02138,Porter Square",3000,0,0,2,1,19167,4.1,7746,6774,5.1,5475,9798,5.8,9552
North Cambridge,"160 Cambridgepark Dr.,Unit 288,Cambridge,MA,02140,North Cambridge",3000,0,0,1,1,18078,0,10073,21507,0,8579,20350,2.4,10455
Porter Square,"24 Cogswell Ave.,Unit 3,Cambridge,MA,02140,Porter Square",3000,0,0,2,1,10232,3.4,8497,7498,5.1,6226,10516,5.8,9994
Allston,"1193 Commonwealth Ave.,Unit 20,Boston,MA,02134,Allston",3000,0,0,1,1,5053,4.1,5745,1194,2.4,1084,3984,2.4,3854
Charlestown,"368 Main St.,Unit 2,Boston,MA,02129,Charlestown",3000,0,0,1,1,10090,4.1,6213,10657,4.1,5697,15352,4.1,16373
