Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit_distance,Northeastern University_transit_cost,Northeastern University_driving_distance,Boston University_transit_distance,Boston University_transit_cost,Boston University_driving_distance,Boston College_transit_distance,Boston College_transit_cost,Boston College_driving_distance
Bay Village,"14 Isabella St.,Unit G,Boston,MA,02116,Bay Village",2000,0,0,1,1,2528,1.7,2269,4811,2.4,2861,9506,2.4,14291
Allston,"1234 Commonwealth Ave.,Unit 20,Boston,MA,02134,Allston",2050,0,0,1,1,4460,2.4,4108,1240,2.4,1163,4030,2.4,3952
Brighton,"3 Lothian Rd.,Unit 31*,Boston,MA,02135,Brighton",2050,0,0,1,1,7026,2.4,6064,3806,2.4,3779,1546,2.4,1406
Brighton,"1148 Commonwealth Ave.,Unit 0C,Boston,MA,02134,Brighton",2050,0,0,1,1,4177,2.4,4216,957,2.4,781,4790,2.4,4505
Hyde Park,"35 Williams Ave.,Unit 0,Boston,MA,02136,Hyde Park",2050,0,0,1,1,16785,3.4,11857,22547,4.1,15269,27242,4.1,13548
Mission Hill,"75 Saint Alphonsus St.,Unit 814,Boston,MA,02120,Mission Hill",2066,0,0,1,1,902,2.4,966,5314,4.1,2297,12405,2.4,6937
Allston,"64 brighton Ave.,Unit 303,Boston,MA,02134,Allston",2100,0,0,1,1,4080,4.1,4267,968,1.7,833,4249,2.4,4574
Brighton,"103 Gordon St.,Unit 10,Boston,MA,02134,Brighton",2100,0,0,1,1,5183,2.4,6611,1963,2.4,2537,3510,2.4,2980
Brighton,"1411 Commonwealth Ave.,Unit 103,Boston,MA,02135,Brighton",2100,0,0,1,1,7349,4.1,6662,1978,2.4,2588,3525,2.4,3031
Brighton,"126 Warren St.,Unit G2,Boston,MA,02135,Brighton",2100,0,0,1,1,7496,4.1,4701,2125,2.4,2025,3190,2.4,2899
Dorchester,"303 Hancock St.,Unit 2,Boston,MA,02125,Dorchester",2100,0,0,1,1,5748,1.7,4419,9148,3.4,14129,13301,5.8,13458
Brighton,"107 Gordon St.,Unit 1,Boston,MA,02135,Brighton",2100,0,0,1,1,5165,2.4,6593,1945,2.4,2519,3492,2.4,2962
Brighton,"135 Washington St.,Unit 45,Boston,MA,02135,Brighton",2100,0,0,1,1,5984,2.4,5128,2764,2.4,2843,2769,2.4,2530
East Boston,"789 Saratoga,Unit 3,Boston,MA,02128,East Boston",2100,0,0,1,1,9073,4.1,9733,10989,4.1,9217,15684,4.1,22055
Dorchester,"307 Hancock St.,Unit 1,Boston,MA,02125,Dorchester",2100,0,0,1,1,5757,1.7,4428,9157,3.4,14120,13310,5.8,13467
Brighton,"1411 Commonwealth Ave.,Unit 103,Boston,MA,02135,Brighton",2100,0,0,1,1,7349,4.1,6662,1978,2.4,2588,3525,2.4,3031
Brighton,"103 Gordon St.,Unit 10,Boston,MA,02134,Brighton",2100,0,0,1,1,5183,2.4,6611,1963,2.4,2537,3510,2.4,2980
Brighton,"135 Washington St.,Unit 36,Boston,MA,02135,Brighton",2100,0,0,1,1,5984,2.4,5128,2764,2.4,2843,2769,2.4,2530
Roslindale,"158-160 Roslindale Ave.,Unit 1,Boston,MA,02131,Roslindale",2100,0,0,1,1,9176,3.4,9498,11213,5.8,9138,14143,7.5,8716
Roslindale,"227 Belgrade,Unit 3,Boston,MA,02131,Roslindale",2100,0,0,1,1,9282,3.4,9211,11308,5.1,8851,14249,7.5,7944
Roxbury,"33 Dale St.,Unit 3,Boston,MA,02119,Roxbury",2100,0,0,1,1,3314,1.7,2230,6316,3.4,5142,10867,5.8,9433
Brighton,"107 Gordon St.,Unit 1,Boston,MA,02135,Brighton",2100,0,0,1,1,5165,2.4,6593,1945,2.4,2519,3492,2.4,2962
Brighton,"135 Washington St.,Unit 36,Boston,MA,02135,Brighton",2100,0,0,1,1,5984,2.4,5128,2764,2.4,2843,2769,2.4,2530
Brighton,"131 Washington St.,Unit 35,Boston,MA,02135,Brighton",2100,0,0,1,1,5963,2.4,5107,2743,2.4,2822,2748,2.4,2509
Allston,"73 Harvard Ave.,Unit 6,Boston,MA,02134,Allston",2100,0,0,1,1,6569,3.4,5424,1367,1.7,1250,4333,2.4,4103
Brighton,"131 Washington St.,Unit 43,Boston,MA,02135,Brighton",2100,0,0,1,1,5963,2.4,5107,2743,2.4,2822,2748,2.4,2509
Dorchester,"307 Hancock St.,Unit 1,Boston,MA,02125,Dorchester",2100,0,0,1,1,5757,1.7,4428,9157,3.4,14120,13310,5.8,13467
Brighton,"1411 Commonwealth Ave.,Unit 103,Boston,MA,02135,Brighton",2100,0,0,1,1,7349,4.1,6662,1978,2.4,2588,3525,2.4,3031
Brighton,"135 Washington St.,Unit 36,Boston,MA,02135,Brighton",2100,0,0,1,1,5984,2.4,5128,2764,2.4,2843,2769,2.4,2530
Dorchester,"303 Hancock St.,Unit 2,Boston,MA,02125,Dorchester",2100,0,0,1,1,5748,1.7,4419,9148,3.4,14129,13301,5.8,13458
Brighton,"114 Strathmore Rd.,Unit 203,Boston,MA,02135,Brighton",2100,0,0,1,1,6981,2.4,5528,3761,2.4,3580,1501,2.4,1779
Brighton,"131 Washington St.,Unit 35,Boston,MA,02135,Brighton",2100,0,0,1,1,5963,2.4,5107,2743,2.4,2822,2748,2.4,2509
Roxbury,"43 Dale St.,Unit 3,Boston,MA,02119,Roxbury",2100,0,0,1,1,3281,1.7,2263,6283,3.4,5176,10834,5.8,9467
Brighton,"198 Allston St.,Unit 14,Boston,MA,02135,Brighton",2125,0,0,1,1,7385,4.1,4592,2014,2.4,1995,3561,2.4,2911
Brighton,"288 Chestnut Hill Ave.,Unit 18,Boston,MA,02135,Brighton",2125,0,0,1,1,6953,2.4,5763,3733,2.4,3774,1473,2.4,1140
Brighton,"1758 Commonwealth Ave.,Unit A,Boston,MA,02135,Brighton",2150,0,0,1,1,6669,2.4,5569,3449,2.4,3284,1767,2.4,2324
Allston,"4 President Ter.,Unit 4,Boston,MA,02134,Allston",2150,0,0,1,1,4620,4.1,5730,1508,1.7,1558,4365,2.4,5063
Brighton,"1412 Commonwealth Ave.,Unit 5,Boston,MA,02134,Brighton",2150,0,0,1,1,7247,4.1,4659,1876,2.4,1857,3423,2.4,3194
Allston,"4 President Ter.,Unit 3,Boston,MA,02134,Allston",2150,0,0,1,1,4620,4.1,5730,1508,1.7,1558,4365,2.4,5063
Brighton,"10 Lothian Rd.,Unit 4,Boston,MA,02135,Brighton",2150,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Allston,"71 Harvard Ave.,Unit 6,Boston,MA,02134,Allston",2150,0,0,1,1,4484,4.1,5419,1372,1.7,1255,4338,2.4,4108
