Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit,Northeastern University_driving,Boston University_transit,Boston University_driving,Boston College_transit,Boston College_driving,Northeastern University_transit_cost,Boston University_transit_cost,Boston College_transit_cost
Roxbury,22 Pompeii St. #2 Roxbury,2500,0.0,0.0,2.0,1.0,5158.0,2386.0,7419.0,10205.0,12011.0,18737.0,1.7,4.1,4.1
Roxbury,2747 Washington St. #5 Roxbury,4500,0.0,0.0,5.0,1.0,3683.0,2417.0,6421.0,4521.0,10972.0,8343.0,4.1,3.4,5.8
South End,40 Traveler St. #407 South End,4000,0.0,0.0,1.0,1.0,3566.0,3103.0,7846.0,7491.0,11596.0,16014.0,1.7,4.1,4.1
South End,345 Harrison Ave. #909 South End,2735,0.0,0.0,,1.0,3396.0,2569.0,7564.0,3511.0,11275.0,14763.0,1.7,4.1,4.1
South End,89 East Dedham St. #825 South End,4086,0.0,0.0,1.0,1.0,3699.0,2296.0,7098.0,8472.0,13218.0,17007.0,1.7,1.7,4.1
South End,533 Columbus Ave. #8 South End,2495,0.0,0.0,1.0,1.0,402.0,887.0,3642.0,2268.0,9220.0,13793.0,0,3.4,4.1
Dorchester,10 Coffey St. #3 Dorchester,2100,0.0,0.0,1.0,1.0,10735.0,9063.0,13734.0,15276.0,18245.0,23781.0,3.4,4.1,7.5
Dorchester,12 Wyoming St. #3 Dorchester,1750,0.0,0.0,1.0,1.0,3973.0,2870.0,7289.0,6096.0,11401.0,9618.0,1.7,3.4,5.8
Dorchester,65 Capen St. #1 Dorchester,2850,0.0,0.0,2.0,1.0,9092.0,8008.0,13124.0,10979.0,23636.0,11996.0,3.4,4.1,4.1
Dorchester,1854 Dorchester Ave. #402 Dorchester,3300,0.0,0.0,2.0,2.0,7851.0,10733.0,11251.0,16946.0,15367.0,13930.0,1.7,3.4,5.8
Dorchester,24 Oyster Bay Rd. #290707 Dorchester,2530,0.0,0.0,1.0,1.0,9641.0,5542.0,12974.0,11755.0,19953.0,20260.0,1.7,1.7,2.4
Dorchester,12 Danube St. #2 Dorchester,3600,0.0,0.0,4.0,1.0,4171.0,2969.0,8893.0,5696.0,11683.0,10501.0,1.7,3.4,5.8
Dorchester,33 Greenbrier St. #1 Dorchester,3650,0.0,0.0,4.0,1.0,6067.0,5352.0,9467.0,15321.0,13620.0,12475.0,1.7,3.4,5.8
